"~id","~start_node_id","~end_node_id","~relationship_type","Impact","Note","Nature","CAPEC_ID","Section"
"868011","550032","551216","hasMitigation",,,,,
"868012","550032","551217","hasMitigation",,,,,
"868013","550033","551218","hasMitigation",,,,,
"868014","550033","551219","hasMitigation",,,,,
"868015","550033","551220","hasMitigation",,,,,
"868016","550033","551221","hasMitigation",,,,,
"868017","550033","551222","hasMitigation",,,,,
"868018","550034","551223","hasMitigation",,,,,
"868019","550034","551224","hasMitigation",,,,,
"868020","550034","551225","hasMitigation",,,,,
"868021","550034","551226","hasMitigation",,,,,
"868022","550034","551227","hasMitigation",,,,,
"868023","550034","551228","hasMitigation",,,,,
"868024","550034","551229","hasMitigation",,,,,
"868025","550034","551231","hasMitigation",,,,,
"868026","550034","551232","hasMitigation",,,,,
"868027","550034","551233","hasMitigation",,,,,
"868029","550036","551235","hasMitigation",,,,,
"869799","550025","550052","RelatedAttackPattern",,,"ChildOf",,
"869800","550025","550106","RelatedAttackPattern",,,"CanPrecede",,
"869801","550028","550029","RelatedAttackPattern",,,"ChildOf",,
"869802","550029","550053","RelatedAttackPattern",,,"ChildOf",,
"869803","550030","550198","RelatedAttackPattern",,,"ChildOf",,
"869804","550030","550521","RelatedAttackPattern",,,"CanPrecede",,
"869805","550031","550512","RelatedAttackPattern",,,"ChildOf",,
"869806","550032","550109","RelatedAttackPattern",,,"ChildOf",,
"869807","550033","550176","RelatedAttackPattern",,,"ChildOf",,
"869808","550034","550164","RelatedAttackPattern",,,"ChildOf",,
"869809","550034","550281","RelatedAttackPattern",,,"PeerOf",,
"869810","550034","550046","RelatedAttackPattern",,,"CanPrecede",,
"869811","550034","550075","RelatedAttackPattern",,,"CanPrecede",,
"869812","550034","550554","RelatedAttackPattern",,,"CanPrecede",,
"869813","550034","550512","RelatedAttackPattern",,,"CanPrecede",,
"869814","550034","550084","RelatedAttackPattern",,,"CanPrecede",,
"869815","550034","550090","RelatedAttackPattern",,,"CanPrecede",,
"869816","550036","550512","RelatedAttackPattern",,,"ChildOf",,
"870469","550028","547694","hasExternal_Reference",,,,"CAPEC-10",
"870470","550028","547700","hasExternal_Reference",,,,"CAPEC-10",
"870471","550029","548019","hasExternal_Reference",,,,"CAPEC-100","Buffer Overflow"
"870472","550030","548009","hasExternal_Reference",,,,"CAPEC-101","Testing for SSI Injection"
"870473","550032","548018","hasExternal_Reference",,,,"CAPEC-103","Testing for Clickjacking"
"870474","550034","547783","hasExternal_Reference",,,,"CAPEC-105",
"870475","550034","548016","hasExternal_Reference",,,,"CAPEC-105",
"870476","550034","548078","hasExternal_Reference",,,,"CAPEC-105",
